shipment_id,origin_city,origin_lat,origin_lng,dest_city,dest_lat,dest_lng,weight_kg,volume_m3,length_cm,width_cm,height_cm,delivery_start,delivery_end,priority,cargo_type
SHP-0034,Kolkata,22.563208,88.397273,Hyderabad,17.365387,78.457718,3155,3.503,223,84,187,2026-03-08T14:15:31+00:00,2026-03-09T21:15:31+00:00,critical,hazardous
SHP-0035,Kochi,9.960574,76.313283,Pune,18.543996,73.872585,3859,2.095,163,153,84,2026-03-08T13:15:31+00:00,2026-03-10T07:15:31+00:00,normal,hazardous
SHP-0036,Kochi,9.895935,76.221921,Nagpur,21.194194,79.099327,2795,0.796,73,100,109,2026-03-08T08:15:31+00:00,2026-03-09T08:15:31+00:00,normal,refrigerated
SHP-0037,Ahmedabad,22.987257,72.590162,Nagpur,21.185066,79.124244,4765,2.131,99,138,156,2026-03-08T11:15:31+00:00,2026-03-09T14:15:31+00:00,normal,refrigerated
SHP-0038,Kolkata,22.568246,88.394042,Chennai,13.099458,80.319489,4293,1.503,168,52,172,2026-03-08T08:15:31+00:00,2026-03-09T03:15:31+00:00,critical,fragile
SHP-0039,Hyderabad,17.380007,78.511878,Kochi,9.965186,76.245031,4185,4.121,159,180,144,2026-03-08T07:15:31+00:00,2026-03-10T01:15:31+00:00,critical,refrigerated
SHP-0040,Kochi,9.914785,76.306603,Kolkata,22.530658,88.328983,2299,0.984,162,59,103,2026-03-08T08:15:31+00:00,2026-03-09T13:15:31+00:00,express,general
SHP-0041,Nagpur,21.137377,79.058883,Kolkata,22.564614,88.404384,576,2.561,156,144,114,2026-03-08T13:15:31+00:00,2026-03-10T06:15:31+00:00,critical,general
SHP-0042,Lucknow,26.850522,80.969663,Ahmedabad,23.052487,72.611181,3957,0.703,51,130,106,2026-03-08T11:15:31+00:00,2026-03-10T01:15:31+00:00,express,general
SHP-0043,Bangalore,12.994018,77.628651,Hyderabad,17.426954,78.534772,4028,0.919,57,139,116,2026-03-08T15:15:31+00:00,2026-03-10T04:15:31+00:00,critical,general
SHP-0044,Ahmedabad,22.98607,72.56757,Kochi,9.886228,76.25521,4673,0.514,219,46,51,2026-03-08T15:15:31+00:00,2026-03-10T06:15:31+00:00,normal,refrigerated
SHP-0045,Pune,18.472338,73.860642,Ahmedabad,23.072491,72.556396,3155,1.672,121,147,94,2026-03-08T06:15:31+00:00,2026-03-10T00:15:31+00:00,normal,general
SHP-0046,Delhi,28.576522,77.225946,Bangalore,12.977997,77.566396,1683,2.245,264,45,189,2026-03-08T07:15:31+00:00,2026-03-09T10:15:31+00:00,normal,fragile
SHP-0047,Chennai,13.125589,80.27828,Kochi,9.972003,76.254831,988,2.198,249,81,109,2026-03-08T06:15:31+00:00,2026-03-08T19:15:31+00:00,normal,general
SHP-0048,Lucknow,26.874964,80.93092,Nagpur,21.138638,79.075257,2039,1.627,76,117,183,2026-03-08T06:15:31+00:00,2026-03-10T06:15:31+00:00,critical,fragile
SHP-0049,Delhi,28.634631,77.202549,Hyderabad,17.40838,78.533247,4065,1.409,77,150,122,2026-03-08T15:15:31+00:00,2026-03-10T08:15:31+00:00,normal,hazardous
SHP-0050,Jaipur,26.945473,75.745966,Hyderabad,17.423163,78.461086,3858,3.014,161,191,98,2026-03-08T10:15:31+00:00,2026-03-09T13:15:31+00:00,express,hazardous
SHP-0051,Lucknow,26.845455,80.931682,Nagpur,21.121635,79.066166,3154,0.997,136,47,156,2026-03-08T10:15:31+00:00,2026-03-09T09:15:31+00:00,critical,fragile
SHP-0052,Jaipur,26.911258,75.813116,Delhi,28.632961,77.22359,4282,1.31,292,88,51,2026-03-08T08:15:31+00:00,2026-03-09T22:15:31+00:00,express,refrigerated
SHP-0053,Delhi,28.611226,77.212092,Chennai,13.07525,80.295294,2460,1.395,106,143,92,2026-03-08T09:15:31+00:00,2026-03-09T20:15:31+00:00,normal,fragile
SHP-0054,Nagpur,21.127355,79.112488,Hyderabad,17.430088,78.505716,2269,1.185,128,104,89,2026-03-08T06:15:31+00:00,2026-03-09T06:15:31+00:00,normal,general
SHP-0055,Nagpur,21.193851,79.121463,Hyderabad,17.364625,78.472788,2315,7.323,235,190,164,2026-03-08T14:15:31+00:00,2026-03-09T20:15:31+00:00,normal,general
SHP-0056,Nagpur,21.165542,79.050828,Jaipur,26.949246,75.786388,1086,0.263,120,51,43,2026-03-08T13:15:31+00:00,2026-03-09T19:15:31+00:00,normal,hazardous
SHP-0057,Bangalore,13.015706,77.592373,Jaipur,26.944612,75.777371,3971,1.584,162,127,77,2026-03-08T05:15:31+00:00,2026-03-09T09:15:31+00:00,normal,hazardous
SHP-0058,Kochi,9.980592,76.229145,Nagpur,21.172244,79.098832,489,1.194,88,78,174,2026-03-08T09:15:31+00:00,2026-03-09T02:15:31+00:00,critical,general
SHP-0059,Jaipur,26.892938,75.799403,Ahmedabad,23.033463,72.595409,3740,4.573,282,153,106,2026-03-08T14:15:31+00:00,2026-03-10T05:15:31+00:00,normal,general
SHP-0060,Bangalore,12.937253,77.585452,Nagpur,21.164737,79.085191,715,0.673,90,101,74,2026-03-08T13:15:31+00:00,2026-03-09T05:15:31+00:00,normal,general
SHP-0061,Bangalore,12.964114,77.599056,Pune,18.535163,73.897541,3769,0.653,68,99,97,2026-03-08T15:15:31+00:00,2026-03-09T15:15:31+00:00,normal,general
SHP-0062,Delhi,28.61077,77.189409,Kolkata,22.562851,88.341125,2569,3.849,202,185,103,2026-03-08T12:15:31+00:00,2026-03-09T07:15:31+00:00,critical,refrigerated
SHP-0063,Hyderabad,17.337586,78.459592,Mumbai,19.09343,72.913752,4949,1.008,60,150,112,2026-03-08T14:15:31+00:00,2026-03-09T18:15:31+00:00,critical,general
SHP-0064,Kochi,9.972807,76.235449,Bangalore,12.980133,77.608078,4770,0.756,60,84,150,2026-03-08T13:15:31+00:00,2026-03-10T05:15:31+00:00,express,general
SHP-0065,Hyderabad,17.376165,78.486247,Pune,18.536658,73.846745,3395,0.922,135,122,56,2026-03-08T07:15:31+00:00,2026-03-09T16:15:31+00:00,critical,general
SHP-0066,Hyderabad,17.417493,78.436815,Mumbai,19.112937,72.873898,2626,0.821,114,122,59,2026-03-08T11:15:31+00:00,2026-03-10T07:15:31+00:00,normal,general
SHP-0067,Jaipur,26.917322,75.830067,Pune,18.514212,73.876525,4133,1.382,210,153,43,2026-03-08T08:15:31+00:00,2026-03-09T13:15:31+00:00,normal,general
SHP-0068,Kochi,9.936425,76.226621,Lucknow,26.895926,80.987493,2010,2.014,231,80,109,2026-03-08T13:15:31+00:00,2026-03-09T01:15:31+00:00,express,general
SHP-0069,Kochi,9.922749,76.26555,Chennai,13.079922,80.266379,4132,5.253,288,114,160,2026-03-08T16:15:31+00:00,2026-03-09T21:15:31+00:00,normal,refrigerated
SHP-0070,Kolkata,22.556588,88.392672,Kochi,9.907917,76.217557,4213,0.838,241,74,47,2026-03-08T09:15:31+00:00,2026-03-09T23:15:31+00:00,normal,hazardous
SHP-0071,Lucknow,26.831212,80.951392,Nagpur,21.150143,79.083734,4061,3.044,271,78,144,2026-03-08T13:15:31+00:00,2026-03-10T07:15:31+00:00,normal,general
SHP-0072,Nagpur,21.170271,79.108723,Kolkata,22.603741,88.352508,4734,1.978,148,99,135,2026-03-08T05:15:31+00:00,2026-03-09T13:15:31+00:00,normal,refrigerated
SHP-0073,Delhi,28.573871,77.250044,Kolkata,22.524135,88.328316,4164,6.467,297,191,114,2026-03-08T06:15:31+00:00,2026-03-09T22:15:31+00:00,normal,general
SHP-0074,Hyderabad,17.420234,78.522634,Bangalore,12.959601,77.576266,2823,5.776,209,141,196,2026-03-08T06:15:31+00:00,2026-03-09T15:15:31+00:00,express,hazardous
SHP-0075,Delhi,28.607297,77.168844,Kochi,9.944575,76.304558,610,1.094,110,113,88,2026-03-08T16:15:31+00:00,2026-03-09T09:15:31+00:00,express,general
SHP-0076,Nagpur,21.133284,79.052757,Bangalore,12.974717,77.601193,287,0.33,61,123,44,2026-03-08T09:15:31+00:00,2026-03-09T19:15:31+00:00,normal,general
SHP-0077,Chennai,13.055919,80.28449,Mumbai,19.071957,72.894384,3183,3.298,208,101,157,2026-03-08T14:15:31+00:00,2026-03-09T11:15:31+00:00,express,fragile
SHP-0078,Kochi,9.945094,76.259731,Jaipur,26.88741,75.82183,1344,1.228,68,153,118,2026-03-08T14:15:31+00:00,2026-03-09T21:15:31+00:00,normal,refrigerated
SHP-0079,Hyderabad,17.434269,78.466223,Mumbai,19.123794,72.893523,1993,3.308,147,186,121,2026-03-08T14:15:31+00:00,2026-03-09T20:15:31+00:00,normal,general
SHP-0080,Lucknow,26.857406,80.931432,Nagpur,21.159462,79.100289,451,8.664,283,195,157,2026-03-08T09:15:31+00:00,2026-03-09T11:15:31+00:00,normal,general
SHP-0081,Kochi,9.954436,76.226313,Nagpur,21.125311,79.112948,372,0.745,129,152,38,2026-03-08T14:15:31+00:00,2026-03-10T01:15:31+00:00,normal,general
SHP-0082,Chennai,13.124105,80.315119,Lucknow,26.893438,80.925714,3047,3.077,185,168,99,2026-03-08T07:15:31+00:00,2026-03-09T11:15:31+00:00,normal,general
SHP-0083,Hyderabad,17.34403,78.476157,Mumbai,19.052446,72.840059,1203,3.088,243,97,131,2026-03-08T13:15:31+00:00,2026-03-10T00:15:31+00:00,normal,fragile
SHP-0084,Lucknow,26.829501,80.957208,Ahmedabad,23.037265,72.58494,3093,1.143,77,99,150,2026-03-08T05:15:31+00:00,2026-03-10T04:15:31+00:00,express,fragile
SHP-0085,Kochi,9.892812,76.24078,Ahmedabad,23.026255,72.560265,1005,0.169,85,51,39,2026-03-08T09:15:31+00:00,2026-03-10T04:15:31+00:00,normal,hazardous
SHP-0086,Ahmedabad,23.034065,72.615305,Kochi,9.909174,76.286328,1315,7.938,276,146,197,2026-03-08T06:15:31+00:00,2026-03-10T01:15:31+00:00,normal,refrigerated
SHP-0087,Hyderabad,17.341055,78.464288,Kolkata,22.619421,88.408801,3021,1.698,75,134,169,2026-03-08T15:15:31+00:00,2026-03-10T01:15:31+00:00,express,general
SHP-0088,Kochi,9.980082,76.295998,Kolkata,22.543121,88.396882,4941,0.563,298,45,42,2026-03-08T10:15:31+00:00,2026-03-09T13:15:31+00:00,critical,general
SHP-0089,Lucknow,26.882541,80.910669,Kolkata,22.535599,88.338965,1958,1.878,134,77,182,2026-03-08T05:15:31+00:00,2026-03-09T10:15:31+00:00,normal,general
SHP-0090,Kochi,9.882778,76.243837,Delhi,28.576576,77.201096,1129,0.625,53,131,90,2026-03-08T14:15:31+00:00,2026-03-09T22:15:31+00:00,normal,general
SHP-0091,Hyderabad,17.357155,78.498211,Jaipur,26.935124,75.828175,3015,1.971,181,191,57,2026-03-08T12:15:31+00:00,2026-03-10T08:15:31+00:00,critical,fragile
SHP-0092,Hyderabad,17.384027,78.52767,Nagpur,21.103149,79.046279,305,1.39,65,162,132,2026-03-08T11:15:31+00:00,2026-03-09T05:15:31+00:00,critical,general
SHP-0093,Mumbai,19.06409,72.887439,Kolkata,22.55209,88.364455,2302,6.715,209,189,170,2026-03-08T16:15:31+00:00,2026-03-10T00:15:31+00:00,express,general
SHP-0094,Nagpur,21.137181,79.120942,Mumbai,19.065873,72.900661,4566,3.112,234,95,140,2026-03-08T12:15:31+00:00,2026-03-09T14:15:31+00:00,normal,refrigerated
SHP-0095,Pune,18.553577,73.816023,Nagpur,21.105456,79.11208,2138,1.73,145,79,151,2026-03-08T06:15:31+00:00,2026-03-08T23:15:31+00:00,normal,hazardous
SHP-0096,Delhi,28.651261,77.253113,Kochi,9.923494,76.308884,4650,1.46,193,124,61,2026-03-08T11:15:31+00:00,2026-03-09T21:15:31+00:00,normal,fragile
SHP-0097,Lucknow,26.862374,80.918624,Bangalore,12.932422,77.629137,2930,2.26,76,187,159,2026-03-08T08:15:31+00:00,2026-03-09T05:15:31+00:00,normal,general
SHP-0098,Bangalore,12.924225,77.637508,Kochi,9.964146,76.244045,1902,6.599,256,149,173,2026-03-08T14:15:31+00:00,2026-03-10T13:15:31+00:00,normal,fragile
SHP-0099,Nagpur,21.161534,79.045159,Bangalore,12.995697,77.641781,2833,0.433,139,41,76,2026-03-08T07:15:31+00:00,2026-03-10T07:15:31+00:00,normal,hazardous
SHP-0100,Kolkata,22.59476,88.391584,Hyderabad,17.391759,78.445196,3489,1.476,166,127,70,2026-03-08T10:15:31+00:00,2026-03-09T17:15:31+00:00,normal,general
SHP-0101,Chennai,13.081266,80.264904,Kochi,9.908517,76.292794,457,1.319,222,60,99,2026-03-08T12:15:31+00:00,2026-03-10T03:15:31+00:00,normal,fragile
SHP-0102,Ahmedabad,22.977042,72.560926,Mumbai,19.085932,72.828469,2370,6.559,223,191,154,2026-03-08T13:15:31+00:00,2026-03-09T20:15:31+00:00,normal,general
SHP-0103,Chennai,13.050269,80.258721,Pune,18.540767,73.856726,2421,0.289,133,70,31,2026-03-08T12:15:31+00:00,2026-03-10T03:15:31+00:00,normal,general
SHP-0104,Ahmedabad,23.015428,72.561842,Delhi,28.627914,77.187952,3623,0.415,54,157,49,2026-03-08T10:15:31+00:00,2026-03-10T10:15:31+00:00,express,general
SHP-0105,Pune,18.494732,73.865587,Chennai,13.085096,80.260277,3819,1.798,262,132,52,2026-03-08T11:15:31+00:00,2026-03-09T05:15:31+00:00,normal,fragile
SHP-0106,Kolkata,22.573595,88.404492,Ahmedabad,23.007438,72.594138,1427,2.252,69,170,192,2026-03-08T06:15:31+00:00,2026-03-10T03:15:31+00:00,normal,general
SHP-0107,Mumbai,19.043715,72.904985,Kolkata,22.572012,88.389345,2146,1.546,100,84,184,2026-03-08T07:15:31+00:00,2026-03-08T23:15:31+00:00,critical,refrigerated
SHP-0108,Kochi,9.888029,76.261521,Lucknow,26.826982,80.923667,2697,5.962,271,200,110,2026-03-08T07:15:31+00:00,2026-03-09T23:15:31+00:00,normal,fragile
SHP-0109,Jaipur,26.94557,75.744973,Mumbai,19.112425,72.913229,2592,1.016,168,155,39,2026-03-08T05:15:31+00:00,2026-03-09T16:15:31+00:00,critical,hazardous
SHP-0110,Jaipur,26.927584,75.769453,Ahmedabad,23.020063,72.536486,3840,1.434,198,181,40,2026-03-08T12:15:31+00:00,2026-03-10T12:15:31+00:00,normal,refrigerated
SHP-0111,Mumbai,19.125099,72.880107,Ahmedabad,23.033481,72.55779,740,0.601,179,84,40,2026-03-08T08:15:31+00:00,2026-03-10T00:15:31+00:00,normal,refrigerated
SHP-0112,Ahmedabad,23.028296,72.560056,Pune,18.4956,73.891857,4947,0.362,63,125,46,2026-03-08T10:15:31+00:00,2026-03-09T04:15:31+00:00,critical,general
SHP-0113,Pune,18.483295,73.877583,Mumbai,19.034472,72.883592,4823,1.981,219,76,119,2026-03-08T09:15:31+00:00,2026-03-09T22:15:31+00:00,normal,general
SHP-0114,Kochi,9.91746,76.235326,Nagpur,21.117219,79.132967,4362,1.729,73,148,160,2026-03-08T10:15:31+00:00,2026-03-08T23:15:31+00:00,express,general
SHP-0115,Kolkata,22.606112,88.402268,Chennai,13.036475,80.254376,1319,0.436,69,115,55,2026-03-08T13:15:31+00:00,2026-03-10T11:15:31+00:00,critical,general
SHP-0116,Lucknow,26.801069,80.93263,Ahmedabad,23.044459,72.618359,1313,1.479,91,86,189,2026-03-08T07:15:31+00:00,2026-03-09T23:15:31+00:00,critical,fragile
SHP-0117,Nagpur,21.132584,79.132913,Hyderabad,17.433444,78.482868,1966,2.048,186,101,109,2026-03-08T12:15:31+00:00,2026-03-09T12:15:31+00:00,normal,refrigerated
SHP-0118,Jaipur,26.9497,75.742518,Lucknow,26.844759,80.933321,3479,1.949,297,81,81,2026-03-08T14:15:31+00:00,2026-03-09T10:15:31+00:00,normal,hazardous
SHP-0119,Mumbai,19.040735,72.871447,Pune,18.565041,73.828904,737,1.965,245,81,99,2026-03-08T12:15:31+00:00,2026-03-10T08:15:31+00:00,express,fragile
SHP-0120,Delhi,28.663353,77.196491,Hyderabad,17.337819,78.529783,486,3.171,151,168,125,2026-03-08T08:15:31+00:00,2026-03-09T20:15:31+00:00,normal,general
SHP-0121,Chennai,13.07756,80.221225,Delhi,28.571823,77.184592,2400,2.954,284,160,65,2026-03-08T16:15:31+00:00,2026-03-10T10:15:31+00:00,normal,hazardous
SHP-0122,Nagpur,21.107985,79.062044,Lucknow,26.860595,80.958481,4373,1.107,158,68,103,2026-03-08T08:15:31+00:00,2026-03-09T15:15:31+00:00,normal,general
SHP-0123,Hyderabad,17.364127,78.436856,Kochi,9.916482,76.274366,4441,1.634,54,171,177,2026-03-08T08:15:31+00:00,2026-03-09T05:15:31+00:00,normal,general
SHP-0124,Jaipur,26.917815,75.776345,Pune,18.517414,73.870267,604,8.645,294,174,169,2026-03-08T13:15:31+00:00,2026-03-10T09:15:31+00:00,normal,fragile
SHP-0125,Nagpur,21.17295,79.111719,Delhi,28.597152,77.163434,2975,1.688,251,57,118,2026-03-08T08:15:31+00:00,2026-03-09T02:15:31+00:00,critical,fragile
SHP-0126,Kochi,9.88751,76.294919,Chennai,13.078468,80.250044,3856,7.055,228,162,191,2026-03-08T07:15:31+00:00,2026-03-09T03:15:31+00:00,normal,general
SHP-0127,Delhi,28.567562,77.22369,Ahmedabad,23.001111,72.607614,2590,4.313,181,141,169,2026-03-08T12:15:31+00:00,2026-03-09T16:15:31+00:00,normal,fragile
SHP-0128,Bangalore,13.018972,77.59422,Mumbai,19.075752,72.920131,3064,3.246,161,142,142,2026-03-08T11:15:31+00:00,2026-03-09T20:15:31+00:00,critical,fragile
SHP-0129,Mumbai,19.058121,72.835707,Hyderabad,17.401092,78.46735,696,2.359,160,194,76,2026-03-08T13:15:31+00:00,2026-03-09T19:15:31+00:00,critical,refrigerated
SHP-0130,Chennai,13.060156,80.318703,Jaipur,26.95719,75.744804,2929,0.984,164,50,120,2026-03-08T14:15:31+00:00,2026-03-10T05:15:31+00:00,express,fragile
SHP-0131,Jaipur,26.86588,75.744023,Nagpur,21.173652,79.074833,1360,0.909,293,47,66,2026-03-08T14:15:31+00:00,2026-03-10T06:15:31+00:00,express,hazardous
SHP-0132,Delhi,28.640208,77.216392,Kochi,9.934146,76.257103,1306,4.286,223,155,124,2026-03-08T10:15:31+00:00,2026-03-10T02:15:31+00:00,normal,general
SHP-0133,Mumbai,19.052178,72.853729,Delhi,28.608527,77.258637,1574,3.927,177,172,129,2026-03-08T13:15:31+00:00,2026-03-09T08:15:31+00:00,normal,refrigerated
SHP-0134,Kolkata,22.622326,88.394951,Mumbai,19.122756,72.926357,1161,2.254,268,58,145,2026-03-08T07:15:31+00:00,2026-03-09T23:15:31+00:00,normal,general
SHP-0135,Jaipur,26.94177,75.788176,Lucknow,26.808836,80.916298,2428,2.257,278,116,70,2026-03-08T16:15:31+00:00,2026-03-09T15:15:31+00:00,normal,general
SHP-0136,Hyderabad,17.347977,78.525125,Delhi,28.570475,77.198816,3006,4.405,191,186,124,2026-03-08T12:15:31+00:00,2026-03-10T11:15:31+00:00,express,hazardous
SHP-0137,Ahmedabad,23.017497,72.589411,Hyderabad,17.369451,78.524496,4759,0.543,68,72,111,2026-03-08T15:15:31+00:00,2026-03-09T07:15:31+00:00,critical,hazardous
SHP-0138,Chennai,13.063112,80.236897,Kolkata,22.616074,88.336447,3594,0.586,178,54,61,2026-03-08T13:15:31+00:00,2026-03-09T10:15:31+00:00,critical,fragile
SHP-0139,Mumbai,19.087443,72.837043,Pune,18.534499,73.865881,1658,3.837,212,181,100,2026-03-08T07:15:31+00:00,2026-03-09T14:15:31+00:00,critical,general
SHP-0140,Chennai,13.037246,80.284845,Nagpur,21.153477,79.103313,2815,1.95,265,184,40,2026-03-08T05:15:31+00:00,2026-03-08T22:15:31+00:00,critical,refrigerated
SHP-0141,Lucknow,26.844994,80.976669,Nagpur,21.164299,79.067943,298,5.983,177,200,169,2026-03-08T09:15:31+00:00,2026-03-09T16:15:31+00:00,normal,general
SHP-0142,Chennai,13.063958,80.292536,Jaipur,26.93582,75.823378,3454,2.241,173,158,82,2026-03-08T10:15:31+00:00,2026-03-09T07:15:31+00:00,express,general
SHP-0143,Pune,18.497147,73.831492,Lucknow,26.806381,80.925221,4651,0.848,77,121,91,2026-03-08T12:15:31+00:00,2026-03-09T07:15:31+00:00,express,hazardous
SHP-0144,Ahmedabad,22.991483,72.537334,Kolkata,22.622197,88.360582,1358,5.617,258,123,177,2026-03-08T16:15:31+00:00,2026-03-10T00:15:31+00:00,normal,refrigerated
SHP-0145,Delhi,28.568766,77.187136,Chennai,13.092452,80.304985,3271,2.557,179,157,91,2026-03-08T08:15:31+00:00,2026-03-09T18:15:31+00:00,express,fragile
SHP-0146,Jaipur,26.938786,75.773894,Delhi,28.603958,77.216028,930,1.148,160,74,97,2026-03-08T16:15:31+00:00,2026-03-10T03:15:31+00:00,normal,fragile
SHP-0147,Jaipur,26.944931,75.799624,Bangalore,12.982704,77.557466,652,3.627,148,169,145,2026-03-08T13:15:31+00:00,2026-03-09T18:15:31+00:00,normal,refrigerated
SHP-0148,Pune,18.510539,73.810725,Ahmedabad,22.976391,72.592759,4619,2.546,290,133,66,2026-03-08T08:15:31+00:00,2026-03-10T04:15:31+00:00,express,hazardous
SHP-0149,Hyderabad,17.374295,78.49835,Chennai,13.11696,80.280072,4273,1.945,85,123,186,2026-03-08T10:15:31+00:00,2026-03-09T08:15:31+00:00,critical,hazardous
SHP-0150,Jaipur,26.929781,75.83529,Hyderabad,17.39337,78.516375,4661,0.69,126,161,34,2026-03-08T10:15:31+00:00,2026-03-09T19:15:31+00:00,normal,hazardous
